"id","name","longitude","latitude","weigth"
"2010","Grand St & Greene St","-74.0023","40.7217","3439"
"385","E 55 St & 2 Ave","-73.966","40.758","3402"
"355","Bayard St & Baxter St","-73.9997","40.716","3394"
"539","Metropolitan Ave & Bedford Ave","-73.9602","40.7153","3393"
"412","Forsyth St & Canal St","-73.9942","40.7158","3381"
"325","E 19 St & 3 Ave","-73.9847","40.7362","3380"
"500","Broadway & W 51 St","-73.9834","40.7623","3336"
"3436","Greenwich St & Hubert St","-74.0101","40.7213","3304"
"3016","Kent Ave & N 7 St","-73.9616","40.7204","3296"
"252","MacDougal St & Washington Sq","-73.9985","40.7323","3294"
"3093","N 6 St & Bedford Ave","-73.9585","40.7175","3288"
"303","Mercer St & Spring St","-73.9995","40.7236","3244"
"3159","W 67 St & Broadway","-73.9827","40.7749","3225"
"522","E 51 St & Lexington Ave","-73.9721","40.7571","3219"
"223","W 13 St & 7 Ave","-73.9999","40.7378","3217"
"319","Fulton St & Broadway","-74.0094","40.7111","3192"
"441","E 52 St & 2 Ave","-73.9674","40.756","3181"
"3429","Hanson Pl & Ashland Pl","-73.9779","40.6851","3178"
"3160","Central Park West & W 76 St","-73.9737","40.779","3159"
"430","York St & Jay St","-73.9866","40.7015","3114"
"3147","E 85 St & 3 Ave","-73.9541","40.778","3109"
"3383","Cathedral Pkwy & Broadway","-73.967","40.8042","3072"
"394","E 9 St & Avenue C","-73.9777","40.7252","3069"
"403","E 2 St & 2 Ave","-73.9907","40.725","3048"
"3175","W 70 St & Amsterdam Ave","-73.9829","40.7775","3033"
"3463","E 16 St & Irving Pl","-73.988","40.7354","3022"
"2002","Wythe Ave & Metropolitan Ave","-73.9632","40.7169","2994"
"152","Warren St & Church St","-74.0091","40.7147","2992"
"259","South St & Whitehall St","-74.0123","40.7012","2992"
"3171","Amsterdam Ave & W 82 St","-73.9767","40.7852","2989"
"3090","N 8 St & Driggs Ave","-73.956","40.7177","2981"
"3156","E 72 St & York Ave","-73.9535","40.7666","2978"
"238","Bank St & Washington St","-74.0086","40.7362","2911"
"455","1 Ave & E 44 St","-73.9691","40.75","2905"
"440","E 45 St & 3 Ave","-73.9728","40.7526","2904"
"473","Rivington St & Chrystie St","-73.9919","40.7211","2886"
"164","E 47 St & 2 Ave","-73.9703","40.7532","2879"
"280","E 10 St & 5 Ave","-73.9951","40.7333","2857"
"228","E 48 St & 3 Ave","-73.9719","40.7546","2838"
"320","Leonard St & Church St","-74.0055","40.7176","2814"
"369","Washington Pl & 6 Ave","-74.0003","40.7322","2801"
"146","Hudson St & Reade St","-74.0091","40.7163","2798"
"502","Henry St & Grand St","-73.9813","40.7142","2776"
"3409","Bergen St & Smith St","-73.9906","40.6867","2771"
"423","W 54 St & 9 Ave","-73.9869","40.7659","2763"
