"id","name","longitude","latitude","arrival_trips","departure_trips","difference"
"3388","President St & Henry St","-73.9999","40.6828","748","731","17"
"3088","Union Ave & Jackson St","-73.952","40.7161","791","775","16"
"349","Rivington St & Ridge St","-73.9833","40.7185","1810","1794","16"
"388","W 26 St & 10 Ave","-74.003","40.7497","4379","4363","16"
"3091","Frost St & Meeker St","-73.9488","40.7176","568","552","16"
"400","Pitt St & Stanton St","-73.9818","40.7193","769","753","16"
"3069","Lorimer St & Broadway","-73.9482","40.7041","413","397","16"
"3096","Union Ave & N 12 St","-73.9524","40.7192","1539","1523","16"
"3304","6 Ave & 9 St","-73.9838","40.6681","858","843","15"
"3095","Graham Ave & Herbert St","-73.945","40.7193","651","636","15"
"3436","Greenwich St & Hubert St","-74.0101","40.7213","3319","3304","15"
"82","St James Pl & Pearl St","-74.0002","40.7112","308","293","15"
"3361","Carroll St & 6 Ave","-73.9787","40.6741","1051","1036","15"
"3328","W 100 St & Manhattan Ave","-73.9645","40.795","964","949","15"
"3415","Prospect Pl & 6 Ave","-73.9752","40.6793","778","763","15"
"446","W 24 St & 7 Ave","-73.9953","40.7449","6121","6107","14"
"3147","E 85 St & 3 Ave","-73.9541","40.778","3123","3109","14"
"3401","2 Ave & 9 St","-73.9933","40.6725","301","287","14"
"534","Water - Whitehall Plaza","-74.0127","40.7025","1822","1808","14"
"334","W 20 St & 7 Ave","-73.9973","40.7424","5102","5088","14"
"3370","E 78 St & 2 Ave","-73.9558","40.7728","1005","991","14"
"405","Washington St & Gansevoort St","-74.0081","40.7393","5258","5244","14"
"307","Canal St & Rutgers St","-73.9899","40.7143","4412","4398","14"
"3046","Marcus Garvey Blvd & Macon St","-73.938","40.6826","471","457","14"
"3464","W 37 St & Broadway","-73.9877","40.7523","2212","2198","14"
"414","Pearl St & Anchorage Pl","-73.9877","40.7028","1906","1892","14"
"407","Henry St & Poplar St","-73.9915","40.7005","1132","1119","13"
"3395","Henry St & W 9 St","-74.0033","40.6764","162","149","13"
"3064","Myrtle Ave & Lewis Ave","-73.9376","40.6968","1222","1209","13"
"3071","Boerum St & Broadway","-73.9498","40.7054","676","663","13"
"3065","Union Ave & Wallabout St","-73.9503","40.7003","446","433","13"
"3393","Richards St & Delavan St","-74.0079","40.6794","284","271","13"
"3245","Industry City, Building 1 Basement","-74.0084","40.6559","159","146","13"
"3378","E 76 St & Park Ave","-73.9622","40.7738","1511","1498","13"
"504","1 Ave & E 16 St","-73.9817","40.7322","5857","5845","12"
"3346","Berkeley Pl & 7 Ave","-73.9752","40.6751","1207","1195","12"
"3445","Riverside Dr & W 89 St","-73.9786","40.7918","1008","996","12"
"3076","Scholes St & Manhattan Ave","-73.9449","40.7087","642","630","12"
"3308","Kane St & Clinton St","-73.9965","40.6862","1133","1121","12"
"3128","21 St & 43 Ave","-73.9459","40.7505","281","269","12"
"3320","Central Park West & W 100 St","-73.9636","40.7934","1698","1686","12"
"3430","Richardson St & N Henry St","-73.9422","40.7191","964","953","11"
"3338","2 Ave & E 99 St","-73.9455","40.7863","457","446","11"
"3110","Meserole Ave & Manhattan Ave","-73.953","40.7271","1581","1570","11"
"2021","W 45 St & 8 Ave","-73.9886","40.7593","4699","4688","11"
"448","W 37 St & 10 Ave","-73.9979","40.7566","3618","3607","11"
"3352","Sigourney St & Columbia St","-74.0088","40.6727","229","218","11"
"484","W 44 St & 5 Ave","-73.9801","40.755","4452","4441","11"
"3042","Fulton St & Utica Ave","-73.9299","40.6794","652","641","11"
"3332","Degraw St & Hoyt St","-73.9908","40.682","569","558","11"
"320","Leonard St & Church St","-74.0055","40.7176","2825","2814","11"
"3254","Soissons Landing","-74.0149","40.6923","1024","1013","11"
"507","E 25 St & 2 Ave","-73.9797","40.7391","5082","5072","10"
"401","Allen St & Rivington St","-73.99","40.7202","4946","4936","10"
"3105","N 15 St & Wythe Ave","-73.9557","40.7241","633","623","10"
"3122","48 Ave & 5 St","-73.9559","40.7444","624","614","10"
"498","Broadway & W 32 St","-73.9881","40.7486","5111","5101","10"
"3447","E 71 St & 1 Ave","-73.9562","40.767","1988","1978","10"
"282","Kent Ave & S 11 St","-73.9684","40.7076","1439","1429","10"
"3449","Eckford St & Engert Ave","-73.948","40.7215","394","384","10"
"3341","Central Park West & W 102 St","-73.9619","40.7953","988","978","10"
"3325","E 95 St & 3 Ave","-73.9505","40.7849","822","812","10"
"303","Mercer St & Spring St","-73.9995","40.7236","3254","3244","10"
"3123","31 St & Thomson Ave","-73.9354","40.7447","382","372","10"
"312","Allen St & Stanton St","-73.9891","40.7221","4427","4418","9"
"3454","Leonard St & Maujer St","-73.9471","40.7104","787","778","9"
"146","Hudson St & Reade St","-74.0091","40.7163","2807","2798","9"
"354","Emerson Pl & Myrtle Ave","-73.9622","40.6936","1009","1001","8"
"3425","2 Ave  & E 104 St","-73.9437","40.7892","760","752","8"
"223","W 13 St & 7 Ave","-73.9999","40.7378","3225","3217","8"
"395","Bond St & Schermerhorn St","-73.9841","40.6881","1371","1363","8"
"3115","India St & Manhattan Ave","-73.9551","40.7323","1330","1322","8"
"3052","Lewis Ave & Madison St","-73.9358","40.6863","695","687","8"
"3396","Clinton St & 4 Place","-74.0001","40.6784","927","919","8"
"3070","McKibbin St & Manhattan Ave","-73.9441","40.7051","348","340","8"
"417","Barclay St & Church St","-74.0102","40.7129","4901","4894","7"
"3397","Court St & Nelson St","-73.9987","40.6764","786","779","7"
"335","Washington Pl & Broadway","-73.994","40.729","3590","3583","7"
"350","Clinton St & Grand St","-73.987","40.7156","2655","2648","7"
"470","W 20 St & 8 Ave","-74","40.7435","3544","3537","7"
"3150","E 85 St & York Ave","-73.948","40.7754","1473","1466","7"
"3043","Lewis Ave & Decatur St","-73.9349","40.6815","373","366","7"
"411","E 6 St & Avenue D","-73.9767","40.7223","1786","1779","7"
"291","Madison St & Montgomery St","-73.9848","40.7131","1742","1735","7"
"195","Liberty St & Broadway","-74.0104","40.7091","3888","3881","7"
"308","St James Pl & Oliver St","-73.9985","40.7131","2323","2316","7"
"157","Henry St & Atlantic Ave","-73.9961","40.6909","1951","1944","7"
"267","Broadway & W 36 St","-73.9877","40.751","4720","4714","6"
"3094","Graham Ave & Withers St","-73.9449","40.717","746","740","6"
"3309","E 97 St & 3 Ave","-73.9486","40.7859","404","398","6"
"361","Allen St & Hester St","-73.9919","40.7161","3854","3848","6"
"357","E 11 St & Broadway","-73.9916","40.7326","2756","2750","6"
"3289","W 90 St & Amsterdam Ave","-73.9729","40.7902","1105","1099","6"
"266","Avenue D & E 8 St","-73.9757","40.7237","1268","1263","5"
